,Source,Filter,Obs_number,Detected Name,Date obs,RA,DEC,Error_circle (arcsec),Position_source,nH,Mag_raw,Mag_err,Upper_limit,zp_offset,SExtractor_Flag,Astrometric_err,An_extinction,An_extinction_err,Mag_corr,Mag_err_corr,Flux (erg/s/cm2),Flux_err,F_NIR_upplim,Distance (kpc),D_errup,D_errlow,Distance_source,L_NIR,L_NIR_errup,L_NIR_errlow,L_NIR_upplim,Xray_Flux (erg/s/cm2),Xray_errup,Xray_errlow,Xray_upplim,Xray_Flux_source,L_X,L_X_errup,L_X_errlow,L_X_upplim,Comments,,L_NIR_errup_nodist,L_NIR_errlow_nodist,L_NIR_errup_noflux,L_NIR_errlow_noflux,L_X_errup_nodist,L_X_errlow_nodist,L_X_errup_noflux,L_X_errlow_noflux
24,XSS_J12270-4859,J,2845,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.1,"Gaia Collaboration 2020, Gaia",1.07e+21,17.166628,0.012503633,,0.02348801294,3.0,0.3376464014,0.1685698324,0.002825192722,16.97457096,0.01671835432,2.59e-13,2.98e-15,,1.37,0.69,0.15,de Martino+2020,5.816367683778939e+31,4.143353902367761e+31,9.030945794256821e+30,,3e-13,2e-13,2e-13,,Thesis Bilal 2018,6.73710542522657e+31,6.572633712194075e+31,4.610957586484322e+31,,,2.59e-13,6.692191389058394e+29,6.692191389058394e+29,4.142813418162515e+31,9.00611612644025e+30,4.491403616817714e+31,4.491403616817714e+31,4.798625580883222e+31,1.043179474105048e+31
25,XSS_J12270-4859,H,2854,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.1,"Gaia Collaboration 2020, Gaia",1.07e+21,16.570377,0.012664714,,-0.03862531407,2.0,0.1416770626,0.1046089385,0.001753222434,16.50439413,0.01604450499,2.93e-13,3.42e-15,,1.37,0.69,0.15,de Martino+2020,6.579906298637951e+31,4.68728691628827e+31,1.0217293350510581e+31,,3e-13,2e-13,2e-13,,Thesis Bilal 2018,6.73710542522657e+31,6.572633712194075e+31,4.610957586484322e+31,,,2.93e-13,7.680300184758291e+29,7.680300184758291e+29,4.6866576506626135e+31,1.0188386197092636e+31,4.491403616817714e+31,4.491403616817714e+31,4.798625580883222e+31,1.043179474105048e+31
26,XSS_J12270-4859,Ks,2864,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.2,"Gaia Collaboration 2020, Gaia",1.07e+21,16.448586,0.01703421,,-0.06096642009,2.0,0.1927944551,0.06694972067,0.001122062358,16.44260228,0.01938678483,2.01e-13,3.15e-15,,1.37,0.69,0.15,de Martino+2020,4.513860634901802e+31,3.215857267239882e+31,7.025009488065978e+30,,3e-13,2e-13,2e-13,,Thesis Bilal 2018,6.73710542522657e+31,6.572633712194075e+31,4.610957586484322e+31,,,2.01e-13,7.073960696487898e+29,7.073960696487898e+29,3.2150791391917582e+31,6.989302476503822e+30,4.491403616817714e+31,4.491403616817714e+31,4.798625580883222e+31,1.043179474105048e+31
27,IGR_J1706.2-6143,J,2982,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,19.79739733,0.05942994518,,0.0005247648385,,0.2752227556,0.1606927374,0.00269317437,19.63617983,0.05966605269,2.19e-14,1.3203408650799232e-15,,7.3,0.5,0.5,Keek+2017,1.3963708994647366e+32,1.5931760775903543e+31,1.5931760775903543e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF & Astrometric offset,2.19e-14,8.418655531377628e+30,8.418655531377628e+30,1.3525799069357177e+31,1.3525799069357177e+31,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35
29,IGR_J1706.2-6143,H,3018,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,19.70588507,0.08975067677,,-0.01343227184,,0.1432983856,0.09972067039,0.001671296152,19.61959668,0.08987146088,1.69e-14,1.5837073593312622e-15,,7.3,0.5,0.5,Keek+2017,1.0775647580344314e+32,1.4522870855715984e+31,1.4522870855715984e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF ,1.69e-14,1.009791264766355e+31,1.009791264766355e+31,1.0437717090051886e+31,1.0437717090051886e+31,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35
31,IGR_J1706.2-6143,Ks,3027,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,19.44067741,0.1540519926,,-0.05480315726,,0.1322897107,0.06382122905,0.001069629537,19.43165934,0.1542437578,1.28e-14,2.0228912476947443e-15,,7.3,0.5,0.5,Keek+2017,8.161437220615812e+31,1.5128133140717602e+31,1.5128133140717602e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF,1.28e-14,1.2898203064213942e+31,1.2898203064213942e+31,7.905489867021547e+30,7.905489867021547e+30,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35
33,IGR_J1706.2-6143,H,176,S,2013-06-17,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,20.06793144,0.1880952643,,-0.03998041997,,0.2077787938,0.09972067039,0.001671296152,20.00819119,0.1882363559,1.405e-14,2.3650158561836324e-15,,7.3,0.5,0.5,Keek+2017,8.958452574191575e+31,1.7398116995498076e+31,1.7398116995498076e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF & Astrometric offset,1.405e-14,1.5079631590627866e+31,1.5079631590627866e+31,8.67751036184787e+30,8.67751036184787e+30,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35
35,IGR_J1706.2-6143,J,191,S,2013-06-17,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,19.75709336,0.07472362949,,-0.1602068885,,0.06148076333,0.1606927374,0.00269317437,19.75660752,0.07484319231,2e-14,1.38e-15,,7.3,0.5,0.5,Keek+2017,1.2752245657212207e+32,1.5165858931797765e+31,1.5165858931797765e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF,2e-14,8.799049503476422e+30,8.799049503476422e+30,1.2352327917221168e+31,1.2352327917221168e+31,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35
36,IGR_J1706.2-6143,Ks,196,S,2013-06-17,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,19.0123327,0.09255208815,,-0.1564262652,,0.06133340057,0.06382122905,0.001069629537,19.10493774,0.09281349825,1.65e-14,1.89e-15,,7.3,0.5,0.5,Keek+2017,1.052060266720007e+32,1.5782055802924692e+31,1.5782055802924692e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF,1.65e-14,1.2050872146065533e+31,1.2050872146065533e+31,1.0190670531707461e+31,1.0190670531707461e+31,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35
37,IGR_J17494-3030,Ks,3162,,2014-05-08,17 49 23.61,-30 29 59.1,0.15,"van den Eijnden+2020, VLA",6.72e+21,,,16.4147358,-0.3518856457,,0.2890244676,0.4204692737,0.007046971068,,,,0.0,2.059064692163526e-13,8.0,,,,,,,1.5767430304259e+33,,,,4.59e-14,Chakrabarty+2013,,,,3.51482424869831e+32,Used low_lim = 12 for magnitude calibration because otherwise only 3 sources used. We do detect a source in the Chandra error circle but not in VLA but this is unlikely to be our source because too bright,,,,,,,,,
